abseil 20260107.1
aom 3.14.1
bash 5.3.15
bat 0.26.1
beads 1.1.0
borders 1.8.4
brew-install-path 1.2.0
brotli 1.2.0
browsh 1.8.0
btop 1.4.7
ca-certificates 2026-05-14
cherri 2.1.1
chezmoi 2.71.0
cmake 4.4.0
cocoapods 1.16.2_2
curl 8.21.0
diff-so-fancy 1.4.10
dolt 1.86.5 2.1.11
eza 0.23.4
fd 10.4.2
flyctl 0.4.33
freetype 2.14.3
fzf 0.71.0
gettext 1.0
gh 2.96.0
giflib 6.1.3
git 2.55.0
git-delta 0.19.2
git-lfs 3.7.1
glow 2.1.2
hey 0.1.5
icu4c@78 78.3
imagemagick 7.1.2-29
jpeg-turbo 3.2.0
jq 1.8.2
json-c 0.19
kanata 1.11.0 HEAD-40a8b17
kotlin-lsp 262.8190.0
krb5 1.22.2
lazygit 0.63.1
libde265 1.1.1
libevent 2.1.13
libgit2 1.9.4
libheif 1.23.1
libidn2 2.3.8
libnghttp2 1.69.0
libnghttp3 1.17.0
libngtcp2 1.24.0
libpng 1.6.58
libpq 18.4
libpsl 0.22.0
libssh2 1.11.1_3
libtiff 4.7.2
libtool 2.6.2
libunistring 1.4.2
libuv 1.52.1
libvmaf 3.2.0
libyaml 0.2.5
little-cms2 2.19
llama-swap 201
llhttp 9.4.2
llvm 22.1.8
lpeg 1.1.0_2
luajit 2.1.1782381659
luv 1.52.1-0
lz4 1.10.0
m4 1.4.21
mas 7.0.0
mcfly 0.9.4
mise 2026.7.6
mole 1.48.1
mosh 1.4.0_40
mpdecimal 4.0.1
navi 2.24.0
ncurses 6.6
neovim 0.12.3
oniguruma 6.9.10
openssl@3 3.6.3
pcre2 10.47_1
pkgconf 2.5.1 3.0.2
protobuf 35.1
python@3.14 3.14.6
readline 8.3.3
render 2.15.1
ripgrep 15.1.0
ruby 4.0.2 4.0.5
rust 1.97.0 1.96.0
sqlite 3.53.3
starship 1.24.2
supabase 2.84.2
tmux 3.7b
tmuxinator 3.4.1
tmuxinator-completion 3.4.1
trash 0.9.2
tree 2.3.2
tree-sitter 0.26.9
unibilium 2.1.2
usage 3.5.5
utf8proc 2.11.3
webp 1.6.0
wget 1.25.0
x265 4.2
xcode-build-server 1.3.0
xcodes 2.0.3
xh 0.26.1
xz 5.8.3
yazi 26.5.6
yq 4.53.3
z3 4.16.0
zoxide 0.9.9
zsh-autosuggestions 0.7.1
zsh-syntax-highlighting 0.8.0
zstd 1.5.7_1
